product_id,product_name,price,cogs,category_id,seller_id
1,Apple AirPods 3rd Gen,199.99,78,1,4
2,Apple AirPods Max,549.99,231,1,35
3,Apple AirPods Pro,249.99,112.5,1,22
4,Apple AirPods Pro 2nd Gen,249.99,17.5,1,23
5,Apple AirPods Pro 2nd Generation,249.99,20,1,32
6,Apple iMac 24-Inch,1299.99,585,1,21
7,Apple iMac 27-Inch Retina,1799.99,324,1,14
8,Apple iMac Pro,4999.99,400,1,20
9,Apple iPad 10th Gen,449.99,135,1,24
10,Apple iPad 9th Gen,329.99,39.6,1,28
11,Apple iPad Air (5th Gen),649.99,156,1,32
12,Apple iPad Air (5th Gen),599.99,120,1,5
13,Apple iPad Pro (11-inch),799.99,232,1,3
14,Apple iPad Pro 12.9-inch (4th Gen),999.99,210,1,5
15,Apple iPad Pro 12.9-inch (5th Gen),1099.99,352,1,22
16,Apple iPhone 12 Mini,699.99,210,1,19
17,Apple iPhone 13 Mini,699.99,112,1,5
18,Apple iPhone 14,799.99,208,1,23
19,Apple iPhone 14 Pro,999.99,190,1,21
20,Apple MacBook Air 2020,999.99,270,1,25
21,Apple MacBook Air M1,999.99,220,1,21
22,Apple MacBook Air M2,1299.99,390,1,29
23,Apple MacBook Pro 13-inch (M1),1299.99,273,1,1
24,Apple MacBook Pro 14-inch,1999.99,320,1,32
25,Apple MacBook Pro 16-inch,2499.99,475,1,3
26,Apple MacBook Pro 16-inch (2021),2499.99,450,1,3
27,Apple Magic Keyboard,149.99,33,1,18
28,Apple Magic Keyboard with Touch ID,149.99,25.5,1,24
29,Apple Magic Mouse 2,79.99,19.2,1,2
30,Apple Magic Trackpad,129.99,52,1,4
31,Apple TV 4K,179.99,46.8,1,24
32,Apple TV 4K (2022),179.99,28.8,1,2
33,Apple TV HD,149.99,42,1,33
34,Apple Watch SE,279.99,64.4,1,4
35,Apple Watch SE (2022),279.99,106.4,1,7
36,Apple Watch Series 7,399.99,76,1,22
37,Apple Watch Series 8,399.99,144,1,28
38,Apple Watch Ultra,799.99,232,1,4
39,Dell XPS 13 Laptop,1199.99,456,1,34
40,Dell Alienware Aurora R13,2499.99,525,1,3
41,Dell Inspiron 15 3000,899.99,63,1,23
42,Dell UltraSharp U2720Q Monitor,719.99,309.6,1,17
43,Dell XPS 17 Laptop,2099.99,231,1,34
44,Dell S3221QS Curved Monitor,599.99,216,1,27
45,Dell G5 Gaming Desktop,1499.99,390,1,1
46,Dell Alienware m15 R6 Gaming Laptop,1699.99,493,1,3
47,Dell Inspiron 14 5000 Laptop,999.99,420,1,4
48,Dell UltraSharp U4021QW Monitor,1999.99,180,1,1
49,Dell XPS 13 Plus,1399.99,476,1,4
50,Dell Inspiron 14 5000,999.99,420,1,5
51,Dell Alienware x17 Gaming Laptop,2099.99,630,1,5
52,Dell XPS 15 Laptop,1799.99,324,1,1
53,Dell Alienware m17 R5 Gaming Laptop,1899.99,779,1,3
54,Samsung 65-Inch QLED TV,1299.99,494,1,5
55,Samsung Galaxy Tab S8,649.99,84.5,1,1
56,Samsung Galaxy Z Fold 4,1799.99,576,1,5
57,Samsung 32-Inch Odyssey G7 Monitor,699.99,301,1,4
58,Samsung Galaxy Buds2 Pro,249.99,20,1,1
59,Samsung Galaxy Note 20 Ultra,1199.99,468,1,4
60,Samsung Odyssey G9,1299.99,78,1,2
61,Samsung Galaxy Z Flip 4,999.99,250,1,4
62,Samsung 34-Inch Curved Monitor,399.99,116,1,2
63,Samsung 27-Inch 4K Monitor,499.99,80,1,4
64,Samsung Galaxy Watch 4,249.99,82.5,1,4
65,Samsung Galaxy S22 Ultra,1199.99,156,1,8
66,Samsung Galaxy Tab S7+,849.99,323,1,4
67,Samsung Galaxy Watch 5,279.99,44.8,1,2
68,Samsung 55-Inch Q80T QLED TV,1299.99,390,1,1
69,Samsung Galaxy Z Fold 5,1799.99,810,1,1
70,Samsung 43-Inch 4K UHD Monitor,399.99,20,1,3
71,Samsung 55-Inch The Frame TV,1499.99,150,1,1
72,Samsung Galaxy Buds Live,169.99,37.4,1,24
73,Samsung Galaxy Z Flip 5,999.99,400,1,16
74,Samsung 32-Inch Odyssey G5 Monitor,399.99,136,1,3
75,Samsung Galaxy Watch 5 Pro,399.99,124,1,5
76,Samsung 32-Inch Curved Monitor,279.99,67.2,1,2
77,Samsung Galaxy A52 5G,499.99,115,1,4
78,Samsung Galaxy S22,799.99,120,1,5
79,Samsung Galaxy S22 Plus,999.99,450,1,4
80,Samsung 49-Inch Odyssey G9 Curved Monitor,1299.99,273,1,2
81,Samsung 32-Inch Monitor,299.99,39,1,4
82,Samsung Galaxy S21 FE,699.99,259,1,5
83,Samsung Galaxy S20 FE,699.99,161,1,5
84,Samsung Galaxy Z Fold 3,1799.99,108,1,19
85,Samsung Galaxy S20 Ultra,1199.99,96,1,5
86,Samsung 32-Inch Curved UHD Monitor,329.99,125.4,1,3
87,Samsung Galaxy Note 20,999.99,140,1,4
88,Sony WH-1000XM4 Wireless Headphones,349.99,108.5,1,3
89,Bose QuietComfort 35 II,299.99,111,1,1
90,Canon EOS R5 Mirrorless Camera,3899.99,1326,1,14
91,Microsoft Surface Pro 8,1099.99,407,1,3
92,Nintendo Switch OLED Model,349.99,52.5,1,1
93,LG OLED C1 Series 55-Inch TV,1799.99,576,1,5
94,Fitbit Charge 5,149.99,33,1,3
95,GoPro HERO10 Black,499.99,100,1,2
96,Sonos One (Gen 2) Wireless Speaker,219.99,59.4,1,2
97,HP Spectre x360 14,1299.99,338,1,17
98,ASUS ROG Strix Scar 15,2299.99,460,1,5
99,Garmin Forerunner 945,599.99,60,1,3
100,DJI Mini 2 Drone,449.99,49.5,1,5
101,Anker PowerCore 26800 Portable Charger,79.99,16.8,1,3
102,Bose SoundLink Revolve+,299.99,105,1,1
103,Sony A7 III Mirrorless Camera,1999.99,800,1,2
104,Lenovo ThinkPad X1 Carbon,1399.99,238,1,5
105,Jabra Elite 75t Wireless Earbuds,149.99,63,1,1
106,Razer BlackWidow V3 Mechanical Keyboard,139.99,23.8,1,5
107,Logitech MX Master 3,99.99,13,1,5
108,Epson EcoTank ET-2760 Printer,229.99,75.9,1,3
109,Roku Streaming Stick 4K,49.99,9,1,5
110,Philips Hue White and Color Ambiance Bulbs,149.99,51,1,5
111,Acer Predator Helios 300,1399.99,168,1,1
112,TP-Link Archer AX73 Wi-Fi 6 Router,229.99,11.5,1,3
113,Netgear Nighthawk X6S Router,299.99,39,1,1
114,Microsoft Xbox Series X,499.99,25,1,5
115,Sony PlayStation 5,499.99,120,1,1
116,LG 27GN950-B UltraGear Monitor,799.99,80,1,2
117,Western Digital 4TB My Passport External HD,139.99,42,1,4
118,Corsair Vengeance LPX 16GB DDR4 RAM,79.99,16,1,5
119,Elgato Stream Deck XL,249.99,30,1,3
120,Logitech C920 HD Pro Webcam,79.99,28.8,1,3
121,Amazon Echo Studio,199.99,22,1,5
122,Sennheiser Momentum True Wireless 2,299.99,111,1,2
123,Huawei Watch GT 3,229.99,23,1,2
124,Beyerdynamic DT 990 Pro Headphones,179.99,68.4,1,4
125,Sony WH-1000XM5 Wireless Headphones,399.99,108,1,2
126,LG Gram 17 Laptop,1699.99,459,1,4
127,Acer Nitro 5 Gaming Laptop,1099.99,319,1,4
128,Garmin Venu 2,399.99,92,1,1
129,Bose SoundLink Mini II,179.99,27,1,5
130,Logitech G502 Hero Gaming Mouse,49.99,15.5,1,1
131,Microsoft Surface Laptop Studio,1999.99,120,1,4
132,ASUS ZenBook 13,1199.99,252,1,5
133,Jabra Elite Active 65t,169.99,54.4,1,3
